date,category,value,units,notes
09/11/22,Total Positive Cases,44662952,value in absolute number,
09/11/22,Number of Active cases,13559,value in absolute number,
09/11/22,Total Recovered,44118882,value in absolute number,
09/11/22,Total Deaths,530511,value in absolute number,
08/11/22,Total Positive Cases,44662141,value in absolute number,
08/11/22,Number of Active cases,14021,value in absolute number,
08/11/22,Total Recovered,44117611,value in absolute number,
08/11/22,Total Deaths,530509,value in absolute number,
07/11/22,Total Positive Cases,44661516,value in absolute number,
07/11/22,Number of Active cases,14515,value in absolute number,
07/11/22,Total Recovered,44116492,value in absolute number,
07/11/22,Total Deaths,530509,value in absolute number,
06/11/22,Total Positive Cases,44660579,value in absolute number,
06/11/22,Number of Active cases,14839,value in absolute number,
06/11/22,Total Recovered,44115240,value in absolute number,
06/11/22,Total Deaths,530500,value in absolute number,
05/11/22,Total Positive Cases,44659447,value in absolute number,
05/11/22,Number of Active cases,15200,value in absolute number,
05/11/22,Total Recovered,44113761,value in absolute number,
05/11/22,Total Deaths,530486,value in absolute number,
04/11/22,Total Positive Cases,44658365,value in absolute number,
04/11/22,Number of Active cases,15705,value in absolute number,
04/11/22,Total Recovered,44112181,value in absolute number,
04/11/22,Total Deaths,530479,value in absolute number,
03/11/22,Total Positive Cases,44657149,value in absolute number,
03/11/22,Number of Active cases,16098,value in absolute number,
03/11/22,Total Recovered,44110590,value in absolute number,
03/11/22,Total Deaths,530461,value in absolute number,
02/11/22,Total Positive Cases,44655828,value in absolute number,
02/11/22,Number of Active cases,16243,value in absolute number,
02/11/22,Total Recovered,44109133,value in absolute number,
02/11/22,Total Deaths,530452,value in absolute number,
01/11/22,Total Positive Cases,44654638,value in absolute number,
01/11/22,Number of Active cases,17618,value in absolute number,
01/11/22,Total Recovered,44107943,value in absolute number,
01/11/22,Total Deaths,529077,value in absolute number,
31/10/22,Total Positive Cases,44653592,value in absolute number,
31/10/22,Number of Active cases,17912,value in absolute number,
31/10/22,Total Recovered,44106656,value in absolute number,
31/10/22,Total Deaths,529024,value in absolute number,
30/10/22,Total Positive Cases,44652266,value in absolute number,
30/10/22,Number of Active cases,18317,value in absolute number,
30/10/22,Total Recovered,44104933,value in absolute number,
30/10/22,Total Deaths,529016,value in absolute number,
29/10/22,Total Positive Cases,44650662,value in absolute number,
29/10/22,Number of Active cases,18802,value in absolute number,
29/10/22,Total Recovered,44102852,value in absolute number,
29/10/22,Total Deaths,529008,value in absolute number,
28/10/22,Total Positive Cases,44649088,value in absolute number,
28/10/22,Number of Active cases,19398,value in absolute number,
28/10/22,Total Recovered,44100691,value in absolute number,
28/10/22,Total Deaths,528999,value in absolute number,
27/10/22,Total Positive Cases,44646880,value in absolute number,
27/10/22,Number of Active cases,20821,value in absolute number,
27/10/22,Total Recovered,44097072,value in absolute number,
27/10/22,Total Deaths,528987,value in absolute number,
26/10/22,Total Positive Cases,44645768,value in absolute number,
26/10/22,Number of Active cases,21607,value in absolute number,
26/10/22,Total Recovered,44095180,value in absolute number,
26/10/22,Total Deaths,528981,value in absolute number,
25/10/22,Total Positive Cases,44644938,value in absolute number,
25/10/22,Number of Active cases,22549,value in absolute number,
25/10/22,Total Recovered,44093409,value in absolute number,
25/10/22,Total Deaths,528980,value in absolute number,
24/10/22,Total Positive Cases,44644076,value in absolute number,
24/10/22,Number of Active cases,23193,value in absolute number,
24/10/22,Total Recovered,44091906,value in absolute number,
24/10/22,Total Deaths,528977,value in absolute number,
23/10/22,Total Positive Cases,44642742,value in absolute number,
23/10/22,Number of Active cases,23432,value in absolute number,
23/10/22,Total Recovered,44090349,value in absolute number,
23/10/22,Total Deaths,528961,value in absolute number,
22/10/22,Total Positive Cases,44640748,value in absolute number,
22/10/22,Number of Active cases,24043,value in absolute number,
22/10/22,Total Recovered,44087748,value in absolute number,
22/10/22,Total Deaths,528957,value in absolute number,
21/10/22,Total Positive Cases,44638636,value in absolute number,
21/10/22,Number of Active cases,25037,value in absolute number,
21/10/22,Total Recovered,44084646,value in absolute number,
21/10/22,Total Deaths,528953,value in absolute number,
20/10/22,Total Positive Cases,44636517,value in absolute number,
20/10/22,Number of Active cases,25510,value in absolute number,
20/10/22,Total Recovered,44082064,value in absolute number,
20/10/22,Total Deaths,528943,value in absolute number,
19/10/22,Total Positive Cases,44634376,value in absolute number,
19/10/22,Number of Active cases,25968,value in absolute number,
19/10/22,Total Recovered,44079485,value in absolute number,
19/10/22,Total Deaths,528923,value in absolute number,
18/10/22,Total Positive Cases,44632430,value in absolute number,
18/10/22,Number of Active cases,26449,value in absolute number,
18/10/22,Total Recovered,44077068,value in absolute number,
18/10/22,Total Deaths,528913,value in absolute number,
17/10/22,Total Positive Cases,44630888,value in absolute number,
17/10/22,Number of Active cases,26834,value in absolute number,
17/10/22,Total Recovered,44075149,value in absolute number,
17/10/22,Total Deaths,528905,value in absolute number,
16/10/22,Total Positive Cases,44628828,value in absolute number,
16/10/22,Number of Active cases,26625,value in absolute number,
16/10/22,Total Recovered,44073308,value in absolute number,
16/10/22,Total Deaths,528895,value in absolute number,
15/10/22,Total Positive Cases,44626427,value in absolute number,
15/10/22,Number of Active cases,26618,value in absolute number,
15/10/22,Total Recovered,44070935,value in absolute number,
15/10/22,Total Deaths,528874,value in absolute number,
14/10/22,Total Positive Cases,44623997,value in absolute number,
14/10/22,Number of Active cases,26583,value in absolute number,
14/10/22,Total Recovered,44068557,value in absolute number,
14/10/22,Total Deaths,528857,value in absolute number,
13/10/22,Total Positive Cases,44621319,value in absolute number,
13/10/22,Number of Active cases,26509,value in absolute number,
13/10/22,Total Recovered,44065963,value in absolute number,
13/10/22,Total Deaths,528847,value in absolute number,
12/10/22,Total Positive Cases,44618533,value in absolute number,
12/10/22,Number of Active cases,26292,value in absolute number,
12/10/22,Total Recovered,44063406,value in absolute number,
12/10/22,Total Deaths,528835,value in absolute number,
11/10/22,Total Positive Cases,44616394,value in absolute number,
11/10/22,Number of Active cases,27374,value in absolute number,
11/10/22,Total Recovered,44060198,value in absolute number,
11/10/22,Total Deaths,528822,value in absolute number,
10/10/22,Total Positive Cases,44614437,value in absolute number,
10/10/22,Number of Active cases,28079,value in absolute number,
10/10/22,Total Recovered,44057544,value in absolute number,
10/10/22,Total Deaths,528814,value in absolute number,
09/10/22,Total Positive Cases,44612013,value in absolute number,
09/10/22,Number of Active cases,28593,value in absolute number,
09/10/22,Total Recovered,44054621,value in absolute number,
09/10/22,Total Deaths,528799,value in absolute number,
08/10/22,Total Positive Cases,44609257,value in absolute number,
08/10/22,Number of Active cases,29251,value in absolute number,
08/10/22,Total Recovered,44051228,value in absolute number,
08/10/22,Total Deaths,528778,value in absolute number,
07/10/22,Total Positive Cases,44606460,value in absolute number,
07/10/22,Number of Active cases,30362,value in absolute number,
07/10/22,Total Recovered,44047344,value in absolute number,
07/10/22,Total Deaths,528754,value in absolute number,
06/10/22,Total Positive Cases,44604463,value in absolute number,
06/10/22,Number of Active cases,32282,value in absolute number,
06/10/22,Total Recovered,44043436,value in absolute number,
06/10/22,Total Deaths,528745,value in absolute number,
05/10/22,Total Positive Cases,44601934,value in absolute number,
05/10/22,Number of Active cases,33318,value in absolute number,
05/10/22,Total Recovered,44039883,value in absolute number,
05/10/22,Total Deaths,528733,value in absolute number,
04/10/22,Total Positive Cases,44599466,value in absolute number,
04/10/22,Number of Active cases,34598,value in absolute number,
04/10/22,Total Recovered,44036152,value in absolute number,
04/10/22,Total Deaths,528716,value in absolute number,
03/10/22,Total Positive Cases,44597498,value in absolute number,
03/10/22,Number of Active cases,36126,value in absolute number,
03/10/22,Total Recovered,44032671,value in absolute number,
03/10/22,Total Deaths,528701,value in absolute number,
02/10/22,Total Positive Cases,44594487,value in absolute number,
02/10/22,Number of Active cases,37444,value in absolute number,
02/10/22,Total Recovered,44028370,value in absolute number,
02/10/22,Total Deaths,528673,value in absolute number,
01/10/22,Total Positive Cases,44591112,value in absolute number,
01/10/22,Number of Active cases,38293,value in absolute number,
01/10/22,Total Recovered,44024164,value in absolute number,
01/10/22,Total Deaths,528655,value in absolute number,
30/09/22,Total Positive Cases,44587307,value in absolute number,
30/09/22,Number of Active cases,39583,value in absolute number,
30/09/22,Total Recovered,44019095,value in absolute number,
30/09/22,Total Deaths,528629,value in absolute number,
29/09/22,Total Positive Cases,44583360,value in absolute number,
29/09/22,Number of Active cases,40750,value in absolute number,
29/09/22,Total Recovered,44013999,value in absolute number,
29/09/22,Total Deaths,528611,value in absolute number,
28/09/22,Total Positive Cases,44579088,value in absolute number,
28/09/22,Number of Active cases,40979,value in absolute number,
28/09/22,Total Recovered,44009525,value in absolute number,
28/09/22,Total Deaths,528584,value in absolute number,
27/09/22,Total Positive Cases,44575473,value in absolute number,
27/09/22,Number of Active cases,42358,value in absolute number,
