year,month,country,category,value_rupee,value_usd,currency,unit,note
2023,August,Switzerland,Trade Balance,-1750026.4,-2113.94,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Taiwan,Export,170765.44,206.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Taiwan,Import,578883.82,699.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Taiwan,Trade Balance,-408118.38,-492.95,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Thailand,Export,392591.25,474.09,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Thailand,Import,725382.39,876.1,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Thailand,Trade Balance,-332791.14,-402.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Turkey,Export,561361.53,677.97,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Turkey,Import,145158.28,175.3,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Turkey,Trade Balance,416203.25,502.67,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,UAE,Export,2431094.36,2936.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,UAE,Import,3059528.79,3695.66,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,UAE,Trade Balance,-628434.43,-759.27,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,United Kingdom,Export,811772.55,980.4,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,United Kingdom,Import,558805.98,674.93,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,United Kingdom,Trade Balance,252966.57,305.47,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,USA,Export,5791003.63,6994.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,USA,Import,3241259.7,3915.06,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,USA,Trade Balance,2549743.93,3079.85,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Vietnam,Export,371990.39,449.26,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Vietnam,Import,712419.62,860.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Vietnam,Trade Balance,-340429.23,-411.26,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Australia,Export,714226.95,869.2,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Australia,Import,1193474.73,1452.75,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Australia,Trade Balance,-479247.78,-583.55,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Bangladesh,Export,593266.68,722.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
