fiscal_year,year,month,phase,sale_period,state,city,election,transaction_type,bond_type,total_bonds,value_of_bonds,units,note
2022-23,2023,January,25,19th January to 28th January 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Thousand Bond,1,1000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Chhattisgarh,Raipur,No Elections,Sold/ Purchased,One Thousand Bond,5,5000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,Ten Lakh Bond,15,15000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,44,44000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,21,21000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,3,3000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,Ten Lakh Bond,20,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Sikkim,Gangtok,No Elections,Redeemed/ Encashed,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,15,15000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,34,34000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Jharkhand,Ranchi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,9,9000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Chhattisgarh,Raipur,No Elections,Sold/ Purchased,Ten Thousand Bond,2,20000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Karnataka,Bengaluru,Assembly Elections,Sold/ Purchased,One Crore Bond,35,350000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Chandigarh,Chandigarh,No Elections,Sold/ Purchased,One Crore Bond,4,40000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
2023-24,2023,April,26,3rd April to 12th April 2023,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Crore Bond,120,1200000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Crore Bond,34,340000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Assam,Guwahati,No Elections,Sold/ Purchased,One Crore Bond,2,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,334,3340000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
