fiscal_year,country,category,value_rupee,value_usd,currency,unit,note
2023-24,Croatia,Export,75677.94,91.84,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Croatia,Import,19024.64,23.06,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Croatia,Trade Balance,56653.3,68.78,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cuba,Export,29199.56,35.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cuba,Import,826,0.99,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cuba,Trade Balance,28373.56,34.53,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cyprus,Export,31321.45,37.96,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cyprus,Import,13484.14,16.35,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cyprus,Trade Balance,17837.31,21.61,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Czech Republic,Export,393951.67,478.6,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Czech Republic,Import,252237.06,306.25,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Czech Republic,Trade Balance,141714.61,172.35,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Denmark,Export,279834.77,339.72,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Denmark,Import,359352.49,436.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Denmark,Trade Balance,-79517.72,-96.8,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Djibouti,Export,294576.89,357.82,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Djibouti,Import,10341.62,12.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Djibouti,Trade Balance,284235.27,345.3,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Dominica,Export,1249.66,1.45,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Dominica,Import,347.04,0.42,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Dominica,Trade Balance,902.62,1.03,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Dominican Republic,Export,122703.22,148.89,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Dominican Republic,Import,175467.73,212.9,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Dominican Republic,Trade Balance,-52764.51,-64.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Ecuador,Export,142862.3,173.38,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Ecuador,Import,381191.83,463.57,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Ecuador,Trade Balance,-238329.53,-290.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Egypt,Export,1125036.31,1366.65,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Egypt,Import,547766.05,665.61,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Egypt,Trade Balance,577270.26,701.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,El Salvador,Export,44323.81,53.77,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,El Salvador,Import,987.42,1.2,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,El Salvador,Trade Balance,43336.39,52.57,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Equatorial Guinea,Export,251151.17,304.92,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Equatorial Guinea,Import,738680.74,897.59,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Equatorial Guinea,Trade Balance,-487529.57,-592.67,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Eritrea,Export,3442.18,4.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Eritrea,Import,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Eritrea,Trade Balance,3442.18,4.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Estonia,Export,20308.8,24.58,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Estonia,Import,29556.22,35.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Estonia,Trade Balance,-9247.42,-11.3,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Ethiopia,Export,175541.21,213.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Ethiopia,Import,29529.97,35.82,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Ethiopia,Trade Balance,146011.24,177.36,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Falkland Islands,Export,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Faroe Islands,Export,2205.77,2.67,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Faroe Islands,Import,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Faroe Islands,Trade Balance,2205.77,2.67,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Fiji,Export,26527.83,32.08,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Fiji,Import,72.78,0.09,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
